,DBN,Post-Secondary Enrollment (18mo),College Persistance,College Readiness Index
0,01M292,43%,27%,62%
1,01M448,71%,56%,71%
2,01M450,80%,71%,90%
3,02M294,80%,62%,62%
4,01M458,80%,62%,62%
5,01M509,59%,44%,30%
6,01M515,59%,44%,30%
7,01M539,89%,81%,93%
8,01M650,89%,81%,93%
9,01M696,99%,86%,98%
10,02M047,76%,45%,49%
11,02M288,79%,51%,44%
12,02M296,70%,45%,39%
13,02M298,81%,57%,66%
14,02M300,60%,33%,43%
15,02M303,59%,35%,39%
16,02M305,72%,49%,41%
17,02M308,76%,53%,42%
18,02M313,76%,53%,42%
19,02M316,61%,46%,27%
20,02M374,65%,49%,48%
21,02M376,94%,85%,86%
22,02M392,80%,61%,34%
23,18K617,61%,47%,34%
24,02M393,69%,50%,42%
25,02M394,69%,50%,42%
26,02M427,52%,36%,47%
27,02M399,81%,58%,59%
28,02M419,50%,25%,53%
29,02M400,77%,60%,62%
30,02M407,83%,72%,93%
31,02M408,84%,63%,72%
32,02M411,94%,88%,93%
33,02M412,93%,84%,98%
34,02M413,87%,71%,93%
35,02M414,95%,87%,88%
36,02M416,90%,82%,97%
37,02M418,95%,88%,95%
38,02M420,80%,65%,78%
39,02M422,67%,46%,65%
40,02M425,56%,38%,36%
41,09X252,66%,43%,41%
42,02M432,63%,48%,37%
43,02M437,64%,46%,31%
44,02M438,67%,58%,42%
45,04M409,33%,15%,28%
46,02M439,98%,85%,98%
47,02M449,56%,42%,54%
48,02M459,71%,50%,42%
49,02M475,100%,96%,99%
50,02M489,85%,76%,77%
51,02M500,69%,54%,39%
52,10X440,46%,32%,42%
53,02M507,76%,56%,66%
54,02M519,84%,67%,87%
55,17K382,57%,41%,45%
56,02M520,51%,34%,35%
57,02M529,54%,38%,37%
58,02M531,95%,74%,60%
59,09X231,74%,44%,31%
60,02M533,92%,71%,54%
61,02M534,84%,68%,72%
62,02M542,83%,67%,75%
63,02M543,70%,49%,63%
64,02M544,70%,49%,63%
65,02M545,91%,83%,99%
66,02M546,96%,74%,67%
67,02M550,96%,74%,67%
68,02M551,71%,48%,52%
69,02M560,71%,48%,52%
70,02M565,71%,48%,52%
71,02M570,71%,48%,52%
72,02M575,71%,48%,52%
73,12X682,52%,30%,40%
74,02M580,63%,49%,53%
75,02M586,63%,49%,53%
76,02M600,88%,73%,68%
77,02M605,71%,67%,70%
78,02M615,68%,52%,60%
79,09X297,52%,37%,43%
80,02M630,78%,65%,63%
81,14K614,100%,95%,66%
82,02M655,57%,43%,36%
83,03M299,46%,36%,32%
84,03M307,59%,45%,37%
85,15K667,60%,44%,53%
86,03M402,54%,35%,26%
87,10X437,84%,49%,77%
88,03M403,71%,47%,40%
89,03M404,71%,47%,40%
90,03M415,60%,34%,27%
91,03M417,88%,75%,79%
92,03M479,93%,82%,97%
93,03M485,88%,77%,98%
94,03M492,69%,54%,45%
95,03M494,47%,29%,18%
96,03M505,47%,29%,18%
97,03M541,92%,81%,96%
98,03M860,50%,27%,42%
99,04M310,50%,27%,42%
100,04M372,61%,28%,31%
101,04M680,51%,35%,37%
102,04M435,86%,74%,93%
103,04M495,75%,61%,83%
104,04M555,94%,77%,88%
105,04M610,99%,85%,87%
106,05M304,57%,32%,27%
107,05M362,99%,89%,96%
108,05M367,41%,32%,0%
109,05M369,80%,63%,31%
110,05M499,73%,55%,61%
111,05M670,67%,47%,41%
112,05M692,100%,91%,98%
113,06M293,90%,74%,86%
114,06M346,69%,47%,62%
115,06M348,72%,52%,48%
116,06M423,72%,52%,48%
117,06M462,50%,36%,24%
118,06M463,43%,30%,23%
119,06M467,54%,36%,24%
120,06M468,54%,33%,38%
121,06M540,65%,50%,60%
122,06M552,65%,41%,45%
123,07X221,70%,50%,50%
124,07X334,60%,30%,33%
125,07X379,60%,30%,33%
126,07X381,60%,30%,33%
127,07X427,60%,42%,39%
128,07X473,51%,43%,20%
129,07X495,83%,66%,97%
130,07X500,83%,61%,66%
131,07X522,47%,28%,30%
132,07X527,71%,51%,27%
133,07X547,37%,22%,14%
134,07X548,64%,49%,24%
135,07X551,56%,40%,43%
136,07X557,56%,40%,43%
137,07X600,47%,29%,23%
138,07X670,56%,48%,29%
139,08X269,60%,40%,60%
140,08X282,52%,37%,32%
141,08X293,53%,32%,24%
142,08X312,53%,36%,26%
143,08X332,44%,23%,36%
144,08X367,56%,38%,39%
145,08X376,50%,34%,27%
146,08X377,50%,34%,27%
147,08X452,44%,24%,16%
148,08X405,43%,32%,35%
149,08X432,51%,43%,24%
150,08X519,42%,29%,9%
151,08X530,39%,22%,17%
152,08X537,39%,22%,17%
153,10X237,73%,63%,30%
154,08X558,66%,56%,51%
155,08X559,51%,34%,26%
156,08X561,53%,34%,25%
157,09X227,46%,29%,41%
158,09X241,83%,67%,44%
159,09X250,67%,45%,43%
160,09X260,82%,67%,82%
161,09X263,59%,36%,34%
162,09X324,81%,58%,54%
163,09X327,80%,66%,61%
164,17K524,68%,50%,30%
165,09X329,46%,28%,32%
166,09X350,46%,28%,32%
167,09X365,81%,65%,44%
168,09X403,60%,36%,28%
169,09X404,40%,20%,37%
170,09X412,38%,22%,21%
171,09X413,86%,65%,47%
172,09X505,73%,64%,59%
173,09X517,48%,29%,25%
174,09X525,53%,38%,27%
175,09X543,49%,31%,17%
176,09X564,63%,45%,21%
177,10X141,80%,64%,59%
178,10X213,60%,42%,40%
179,10X225,76%,62%,41%
180,10X243,71%,52%,42%
181,10X268,40%,24%,26%
182,10X284,54%,37%,31%
183,10X319,54%,37%,31%
184,10X549,63%,40%,65%
185,10X342,59%,38%,34%
186,10X368,85%,70%,39%
187,10X374,74%,54%,54%
188,10X397,74%,54%,54%
189,10X433,52%,31%,25%
190,10X434,72%,56%,65%
191,10X438,45%,24%,40%
192,11X513,85%,60%,73%
193,10X439,68%,38%,44%
194,10X442,78%,60%,65%
195,10X445,99%,96%,100%
196,10X477,89%,70%,71%
197,10X524,25%,14%,27%
198,10X546,60%,38%,49%
199,11X545,55%,32%,23%
200,10X565,66%,44%,32%
201,10X696,100%,92%,100%
202,11X249,87%,84%,80%
203,11X253,52%,35%,30%
204,11X265,55%,32%,40%
205,17K537,51%,36%,42%
206,11X270,53%,34%,36%
207,13K527,68%,54%,54%
208,11X275,67%,53%,45%
209,11X288,84%,71%,76%
210,11X290,67%,53%,38%
211,11X299,75%,55%,40%
212,11X418,51%,36%,29%
213,11X455,47%,32%,36%
214,11X508,68%,39%,32%
215,11X509,59%,48%,31%
216,11X514,48%,33%,29%
217,13K439,85%,61%,55%
218,11X542,78%,60%,51%
219,11X544,46%,30%,29%
220,12X242,76%,53%,68%
221,12X248,49%,33%,23%
222,12X251,49%,29%,26%
223,12X267,87%,67%,62%
224,12X271,68%,46%,40%
225,12X321,68%,46%,40%
226,12X372,62%,51%,49%
227,12X388,61%,48%,39%
228,12X446,61%,48%,39%
229,12X478,80%,54%,62%
230,12X479,38%,28%,25%
231,12X480,38%,28%,25%
232,12X511,56%,41%,27%
233,12X521,64%,45%,37%
234,12X550,39%,22%,12%
235,12X684,46%,28%,23%
236,13K265,53%,39%,35%
237,13K350,66%,46%,32%
238,13K412,63%,39%,24%
239,13K419,79%,58%,66%
240,13K430,97%,93%,98%
241,13K483,86%,64%,69%
242,13K499,61%,35%,36%
243,13K553,61%,35%,36%
244,13K575,61%,35%,36%
245,13K595,94%,77%,95%
246,13K605,55%,33%,30%
247,13K616,55%,33%,30%
248,13K670,89%,74%,82%
249,13K674,81%,57%,64%
250,15K684,93%,80%,94%
251,14K071,30%,26%,29%
252,14K449,91%,84%,97%
253,14K454,46%,25%,37%
254,14K474,51%,35%,32%
255,14K477,35%,22%,28%
256,14K478,69%,53%,35%
257,14K488,76%,53%,63%
258,14K558,60%,40%,67%
259,14K561,79%,63%,74%
260,14K586,56%,34%,47%
261,14K610,26%,16%,35%
262,14K685,59%,38%,44%
263,15K423,59%,38%,44%
264,15K429,74%,60%,42%
265,16K688,39%,13%,18%
266,15K448,78%,60%,71%
267,15K462,77%,47%,49%
268,15K463,74%,51%,33%
269,15K464,75%,58%,56%
270,15K497,66%,48%,28%
271,15K519,68%,47%,50%
272,15K529,68%,47%,50%
273,15K592,61%,35%,45%
274,15K656,75%,57%,57%
275,15K698,75%,57%,57%
276,16K455,33%,19%,26%
277,16K498,61%,42%,39%
278,16K594,58%,39%,50%
279,16K669,58%,39%,50%
280,17K122,79%,62%,66%
281,17K408,45%,27%,32%
282,17K489,45%,27%,32%
283,17K528,40%,14%,43%
284,17K531,56%,48%,32%
285,17K539,58%,45%,37%
286,17K543,94%,68%,78%
287,17K546,92%,74%,72%
288,17K751,64%,47%,50%
289,17K547,66%,49%,39%
290,17K548,65%,37%,21%
291,17K568,65%,37%,21%
292,17K590,91%,75%,87%
293,17K600,68%,48%,39%
294,17K745,75%,55%,61%
295,18K563,80%,59%,65%
296,18K566,61%,49%,20%
297,18K567,54%,40%,39%
298,18K569,57%,28%,53%
299,18K576,68%,44%,42%
300,18K578,68%,44%,42%
301,18K629,54%,31%,33%
302,18K633,76%,59%,55%
303,18K642,48%,23%,16%
304,18K635,48%,23%,16%
305,18K637,62%,38%,46%
306,18K673,62%,38%,46%
307,19K404,80%,59%,41%
308,19K409,77%,54%,42%
309,19K507,53%,30%,24%
310,19K502,33%,19%,30%
311,19K504,42%,20%,16%
312,20K505,63%,45%,51%
313,19K510,57%,44%,33%
314,19K583,55%,53%,19%
315,19K615,52%,37%,34%
316,19K618,53%,31%,45%
317,19K639,45%,35%,31%
318,19K659,57%,40%,44%
319,19K660,42%,23%,32%
320,19K683,40%,24%,36%
321,20K445,67%,55%,57%
322,20K485,79%,60%,78%
323,20K490,76%,68%,66%
324,20K609,86%,76%,75%
325,21K337,60%,39%,33%
326,21K620,33%,22%,33%
327,21K344,67%,47%,54%
328,21K348,60%,39%,41%
329,21K410,59%,43%,43%
330,21K468,94%,70%,93%
331,21K525,74%,60%,68%
332,21K540,69%,52%,63%
333,23K643,69%,52%,63%
334,21K559,68%,48%,51%
335,21K572,83%,70%,75%
336,21K690,76%,60%,57%
337,21K728,76%,60%,57%
338,26Q566,86%,73%,53%
339,24Q530,89%,62%,60%
340,22K405,87%,77%,85%
341,22K425,73%,60%,63%
342,22K535,79%,70%,89%
343,22K555,99%,87%,82%
344,23K493,59%,41%,39%
345,23K514,47%,30%,27%
346,23K644,65%,47%,33%
347,23K646,65%,47%,33%
348,23K647,65%,47%,33%
349,23K697,56%,39%,39%
350,24Q264,85%,65%,79%
351,24Q267,74%,57%,56%
352,24Q293,82%,67%,82%
353,24Q296,53%,24%,45%
354,24Q299,98%,81%,99%
355,24Q455,60%,38%,51%
356,24Q485,56%,36%,40%
357,24Q520,87%,56%,77%
358,24Q550,80%,47%,79%
359,24Q560,87%,74%,65%
360,29Q326,79%,64%,39%
361,27Q351,56%,34%,26%
362,24Q585,89%,73%,86%
363,24Q600,74%,56%,70%
364,24Q610,84%,61%,88%
365,24Q744,84%,61%,88%
366,25Q252,97%,92%,84%
367,25Q263,76%,60%,36%
368,25Q281,92%,82%,81%
369,25Q285,89%,81%,75%
370,25Q425,65%,47%,55%
371,25Q460,54%,33%,32%
372,25Q525,100%,93%,99%
373,25Q540,100%,93%,99%
374,25Q670,75%,60%,60%
375,25Q792,75%,60%,60%
376,26Q415,85%,72%,74%
377,27Q262,77%,64%,76%
378,26Q430,81%,70%,80%
379,26Q435,54%,37%,54%
380,26Q495,90%,77%,87%
381,27Q260,43%,27%,11%
382,27Q261,43%,27%,11%
383,27Q302,43%,25%,50%
384,27Q308,68%,60%,71%
385,27Q309,45%,25%,36%
386,27Q323,99%,93%,99%
387,28Q686,81%,59%,84%
388,27Q324,44%,23%,36%
389,27Q400,39%,19%,28%
390,27Q475,39%,19%,28%
391,27Q480,39%,19%,28%
392,27Q650,87%,75%,83%
393,28Q167,93%,83%,64%
394,30Q501,97%,92%,87%
395,28Q284,95%,83%,89%
396,28Q310,72%,55%,56%
397,28Q325,63%,42%,52%
398,28Q328,66%,43%,75%
399,28Q338,66%,43%,75%
400,28Q350,83%,70%,61%
401,28Q440,82%,68%,81%
402,28Q505,69%,53%,44%
403,28Q620,82%,69%,82%
404,28Q680,98%,90%,86%
405,28Q687,95%,89%,99%
406,28Q690,78%,58%,38%
407,28Q896,92%,78%,73%
408,32K554,87%,62%,86%
409,31R460,78%,66%,61%
410,29Q248,68%,49%,39%
411,29Q259,64%,49%,28%
412,29Q265,62%,43%,52%
413,29Q272,78%,58%,39%
414,29Q283,78%,58%,39%
415,29Q313,78%,58%,39%
416,29Q492,56%,37%,47%
417,29Q498,64%,34%,43%
418,30Q286,97%,82%,82%
419,30Q301,87%,67%,80%
420,30Q445,62%,45%,52%
421,30Q450,55%,40%,46%
422,30Q502,74%,51%,60%
423,30Q555,71%,42%,43%
424,30Q575,80%,64%,86%
425,30Q580,95%,91%,97%
426,31R047,93%,82%,89%
427,31R064,85%,73%,61%
428,31R080,67%,45%,63%
429,31R440,65%,49%,59%
430,31R445,47%,29%,46%
431,31R450,59%,41%,53%
432,31R455,72%,57%,74%
433,31R470,72%,57%,74%
434,31R600,45%,21%,41%
435,31R605,90%,84%,100%
436,32K168,71%,53%,82%
437,32K403,51%,35%,23%
438,32K545,54%,31%,32%
439,32K549,53%,40%,24%
440,32K552,42%,28%,34%
441,32K556,54%,41%,26%
442,32K564,54%,41%,26%
